idna_subject,checker_type,destination,tested_at
js.cybermonitor.com,AVAILABILITY,origin.list,2022-04-11 09:30:11.170442
lycoscollect.realmedia.com,AVAILABILITY,origin.list,2022-04-11 09:30:11.524436
phormdev.com,AVAILABILITY,origin.list,2022-04-11 09:30:20.310499
phorm.com.br,AVAILABILITY,origin.list,2022-04-11 09:30:20.666361
phorm.ro,AVAILABILITY,origin.list,2022-04-11 09:30:20.955065
ns2.rosprint.ru,AVAILABILITY,origin.list,2022-04-11 09:30:20.968317
phormkorea.com,AVAILABILITY,origin.list,2022-04-11 09:30:21.204284
phormprivacy.com,AVAILABILITY,origin.list,2022-04-11 09:30:22.259866
phorm.org.es,AVAILABILITY,origin.list,2022-04-11 09:30:22.867272
phormsolution.com,AVAILABILITY,origin.list,2022-04-11 09:30:23.198338
phormdiscover.com,AVAILABILITY,origin.list,2022-04-11 09:30:23.278869
prm-ext.phorm.com,AVAILABILITY,origin.list,2022-04-11 09:30:23.877801
pilltabletsrxbargain.net,AVAILABILITY,origin.list,2022-04-11 09:30:24.356418
pple.com.virus-mac.com,AVAILABILITY,origin.list,2022-04-11 09:30:24.795821
products-gold.net,AVAILABILITY,origin.list,2022-04-11 09:30:25.351369
play6932.fuckingmonday113.agency,AVAILABILITY,origin.list,2022-04-11 09:30:25.652522
powabcyfqe.com,AVAILABILITY,origin.list,2022-04-11 09:30:25.873564
mailgate.sbell.com.cn,AVAILABILITY,origin.list,2022-04-11 09:30:26.418084
phormservice.com,AVAILABILITY,origin.list,2022-04-11 09:30:26.626367
pop.net21pk.com,AVAILABILITY,origin.list,2022-04-11 09:30:27.086069
phorm.web.tr,AVAILABILITY,origin.list,2022-04-11 09:30:27.314882
pyilgdamion.city,AVAILABILITY,origin.list,2022-04-11 09:30:27.685347
reward-survey.net,AVAILABILITY,origin.list,2022-04-11 09:30:28.203088
protectionupdatecenter.com,AVAILABILITY,origin.list,2022-04-11 09:30:28.710730
outweb.nudt.edu.cn,AVAILABILITY,origin.list,2022-04-11 09:30:28.852125
phorm.kr,AVAILABILITY,origin.list,2022-04-11 09:30:29.136980
proflashdata.com,AVAILABILITY,origin.list,2022-04-11 09:30:29.356667
qenabled.com,AVAILABILITY,origin.list,2022-04-11 09:30:30.075091
ry.znvzzptgblovers.download,AVAILABILITY,origin.list,2022-04-11 09:30:30.450162
rd.alphabirdnetwork.com,AVAILABILITY,origin.list,2022-04-11 09:30:30.593187
puush.in,AVAILABILITY,origin.list,2022-04-11 09:30:30.984724
regardens.info,AVAILABILITY,origin.list,2022-04-11 09:30:31.260276
usa.nedstat.net,AVAILABILITY,origin.list,2022-04-11 09:30:31.375583
